image_name,ofd_1_x,ofd_1_y,ofd_2_x,ofd_2_y,bpd_1_x,bpd_1_y,bpd_2_x,bpd_2_y
013_HC.png,408,398,116,395,264,217,260,576
014_3HC.png,297,440,125,433,216,319,207,554
014_HC.png,350,395,111,388,234,265,227,518
020_HC.png,453,361,108,350,286,157,274,554
027_HC.png,474,377,261,371,371,253,365,495
031_HC.png,363,389,212,383,292,269,283,503
046_HC.png,344,363,70,359,209,214,205,509
048_HC.png,381,310,88,302,239,132,230,480
061_2HC.png,443,409,100,403,275,197,268,615
075_HC.png,403,378,142,374,275,227,270,525
079_HC.png,333,398,93,392,216,252,209,538
084_HC.png,358,438,61,436,211,264,208,610
100_HC.png,401,297,79,292,243,107,237,481
107_2HC.png,413,386,70,376,248,158,235,604
107_HC.png,411,342,104,334,263,125,252,551
108_3HC.png,333,407,78,399,210,253,201,554
118_HC.png,419,405,199,403,310,265,308,542
121_HC.png,368,296,0,286,190,65,178,517
126_3HC.png,416,389,20,374,226,167,209,595
126_HC.png,402,319,27,307,222,78,207,549
137_HC.png,338,404,113,400,228,270,223,534
141_2HC.png,408,442,75,432,248,238,236,635
144_2HC.png,401,403,101,394,257,221,246,575
153_HC.png,402,484,66,475,239,274,228,686
157_HC.png,337,386,115,381,229,255,223,512
161_HC.png,397,306,71,297,239,100,228,503
163_HC.png,428,399,220,392,328,254,320,537
178_2HC.png,428,385,60,375,251,142,237,618
181_HC.png,388,409,93,400,245,223,235,586
183_HC.png,474,403,106,390,297,187,283,606
193_2HC.png,345,406,120,398,237,263,228,541
193_HC.png,415,379,153,372,289,197,279,555
196_HC.png,378,429,145,424,265,286,259,567
206_HC.png,439,369,54,358,254,110,240,618
218_HC.png,413,418,50,408,238,176,225,650
221_HC.png,421,350,27,338,231,101,216,588
223_HC.png,447,371,50,360,256,122,242,608
226_HC.png,464,404,95,394,286,165,273,633
230_HC.png,476,379,29,368,260,53,244,694
232_HC.png,444,385,39,374,249,100,233,660
235_HC.png,441,407,89,397,271,171,259,632
243_3HC.png,450,321,163,309,313,152,300,479
247_HC.png,442,359,26,349,241,88,227,620
252_HC.png,482,433,95,420,296,187,280,666
254_HC.png,438,354,53,343,253,111,239,586
260_2HC.png,431,404,62,393,253,140,239,657
265_HC.png,475,381,27,368,259,90,243,659
267_HC.png,346,397,6,387,182,181,170,603
277_HC.png,409,321,47,312,234,89,222,544
279_HC.png,484,381,44,369,272,89,257,660
282_HC.png,455,324,228,320,343,197,340,447
290_HC.png,459,322,65,312,268,65,255,569
294_HC.png,346,375,38,367,198,169,187,574
303_HC.png,444,392,46,381,252,123,238,650
304_HC.png,449,448,58,437,260,192,246,693
307_HC.png,420,331,21,319,228,71,213,578
308_HC.png,452,426,23,414,245,147,230,693
309_HC.png,438,386,25,375,239,107,225,654
326_HC.png,443,313,103,304,279,84,267,533
327_2HC.png,481,393,28,381,263,68,246,706
333_HC.png,444,391,18,380,239,101,223,669
354_HC.png,474,375,77,364,283,103,268,636
355_HC.png,389,385,60,376,229,179,219,582
358_HC.png,426,441,74,431,257,206,244,666
362_HC.png,430,368,9,357,227,88,212,637
364_2HC.png,425,381,90,371,264,146,251,606
364_HC.png,442,311,75,301,266,54,251,558
372_HC.png,431,365,72,355,258,131,245,589
379_HC.png,452,380,64,370,265,120,252,630
380_HC.png,452,265,119,256,292,37,280,483
383_HC.png,382,361,29,347,214,144,197,565
387_HC.png,477,418,34,406,264,127,248,698
392_3HC.png,398,331,59,323,234,112,223,542
392_HC.png,398,331,59,323,234,112,223,542
405_HC.png,394,450,105,442,254,255,244,637
413_HC.png,464,337,43,326,261,53,246,609
415_HC.png,423,372,70,363,252,142,240,593
425_2HC.png,438,360,44,349,248,106,235,603
433_HC.png,403,368,153,361,282,199,273,530
435_HC.png,405,399,35,391,225,167,215,622
453_2HC.png,455,384,95,372,283,135,267,621
458_HC.png,441,354,21,341,239,78,223,617
468_HC.png,480,404,58,392,276,129,261,668
469_2HC.png,428,259,62,248,252,29,238,478
473_HC.png,416,387,39,378,234,140,221,625
482_3HC.png,473,369,42,357,265,104,251,622
486_2HC.png,479,350,86,339,289,78,275,612
487_HC.png,448,427,36,416,249,166,235,677
489_HC.png,480,368,99,358,296,122,283,604
491_HC.png,422,435,41,425,238,175,225,684
492_HC.png,459,353,61,342,267,92,253,603
500_HC.png,375,432,42,422,215,217,203,637
